link,address,price,price_num,beds,bath,cars,suburb
https://www.realestate.com.au/property-apartment-nsw-strathfield-424880410,"34 Willee Street, Strathfield, NSW 2135",FROM $550 - $600 Per Week,575.0,2,2,1,strathfield
https://www.realestate.com.au/property-unit-nsw-strathfield-418334374,"241/20-34 Albert Road, Strathfield, NSW 2135",$600,600.0,2,1,1,strathfield
https://www.realestate.com.au/property-unit-nsw-strathfield-425632546,"21/17 Everton Rd, Strathfield, NSW 2135",$560 per week,560.0,2,1,1,strathfield
https://www.realestate.com.au/property-unit-nsw-strathfield-404392804,"19A/30-34 CHURCHILL AVE, Strathfield, NSW 2135",$570 per week,570.0,2,1,0,strathfield
https://www.realestate.com.au/property-apartment-nsw-strathfield-425678382,"34/48 Cooper St, Strathfield, NSW 2135",$580,580.0,2,1,1,strathfield
https://www.realestate.com.au/property-apartment-nsw-strathfield-425613954,"503/39 Cooper Street, Strathfield, NSW 2135",$550pw,,2,2,1,strathfield
https://www.realestate.com.au/property-unit-nsw-strathfield-414042015,"14-16 Roberts Street, Strathfield, NSW 2135",$580 per week,580.0,3,1,1,strathfield
https://www.realestate.com.au/property-apartment-nsw-strathfield-420263570,"2BED/7 Hilts Road, Strathfield, NSW 2135",$580 per week,580.0,2,2,1,strathfield
https://www.realestate.com.au/property-apartment-nsw-strathfield-418409794,"207A/5-7 Hilts Road, Strathfield, NSW 2135",$580 per week,580.0,2,2,1,strathfield
https://www.realestate.com.au/property-apartment-nsw-strathfield-425538718,"808/8 Parramatta Rd, Strathfield, NSW 2135",Deposit Taken!!,,2,2,1,strathfield
https://www.realestate.com.au/property-unit-nsw-strathfield-410179007,"29/1-5 HILTS ROAD, Strathfield, NSW 2135",$580 per week,580.0,2,2,1,strathfield
https://www.realestate.com.au/property-unit-nsw-strathfield-425317838,"6/14-16 Beresford Road, Strathfield, NSW 2135",$580-$620,,2,1,1,strathfield
https://www.realestate.com.au/property-apartment-nsw-strathfield-425192498,"605/235 Homebush Road, Strathfield, NSW 2135",$580 per week,580.0,2,2,1,strathfield
https://www.realestate.com.au/property-apartment-nsw-strathfield-423456082,"51/235 Homebush Road, Strathfield, NSW 2135",...TWO WEEKS RENT FREE,,2,2,1,strathfield
https://www.realestate.com.au/property-unit-nsw-strathfield-407593829,"17/5-7 Beresford Road, Strathfield, NSW 2135",$590 / Wk,590.0,2,2,1,strathfield
https://www.realestate.com.au/property-apartment-nsw-strathfield-425409706,"36/48 Cooper Street, Strathfield, NSW 2135",$590-$600,,2,2,1,strathfield
