link,price,price_num,beds,bath,cars,suburb
https://www.realestate.com.au/property-unit-nsw-ashfield-419603494,$520 per week,520.0,2,1,1,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-425320998,$525P/W,,2,1,0,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-425576150,$540 per week,540.0,2,2,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425512546,$540 Per Week,540.0,2,2,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425596970,$550 per week,550.0,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-424151314,$550,550.0,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-415798747,$550 per week,550.0,2,1,1,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-418359942,$550 per week,550.0,3,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425170186,$560 Per Week,560.0,2,1,1,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-424742250,Deposit Taken,,3,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425646458,$570pw,,2,2,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-424818230,$570 Per Week,570.0,3,1,0,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425623606,$570 - $590 Per Week,580.0,2,2,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-424262766,$575,575.0,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425488466,$575 Per Week,575.0,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425555942,$580 - $640 Per Week,610.0,2,2,1,ashfield
https://www.realestate.com.au/property-townhouse-nsw-ashfield-417037398,DEPOSIT RECEIVED,,3,2,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-424908250,RENT FREE INCENTIVE,,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-404644337,$590P/W,,2,2,1,ashfield
https://www.realestate.com.au/property-townhouse-nsw-ashfield-425602534,$590 to $600,595.0,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425569434,$590 per week,590.0,2,1,1,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-422843506,$600-$620,,3,2,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425647730,$600 - $660,630.0,2,1,1,ashfield
https://www.realestate.com.au/property-house-nsw-ashfield-422606266,$600 per week,600.0,2,1,0,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-425434550,$600 p/w,600.0,2,2,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425372610,$600 per week,600.0,3,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-424968414,price range $600 - $670,635.0,2,2,2,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-424908258,RENT FREE INCENTIVE,,2,2,0,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425458010,DEPOSIT TAKEN,,2,2,1,ashfield
https://www.realestate.com.au/property-house-nsw-ashfield-425553938,$625P/W,,3,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-424908002,RENT FREE INCENTIVE,,2,2,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425676658,$650 Per Week,650.0,3,2,2,ashfield
https://www.realestate.com.au/property-townhouse-nsw-ashfield-425669842,$650 per week,650.0,3,2,2,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425607718,$650 per week,650.0,2,2,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425141690,...1 Weeks Free Rent !!!,1.0,2,2,2,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-424862314,$670 Negotiable,670.0,2,2,2,ashfield
https://www.realestate.com.au/property-townhouse-nsw-ashfield-424782534,Offer,,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-424288954,$650 per week,650.0,2,2,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-419804994,$675 per week,675.0,2,2,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425618958,$680 per week,680.0,2,2,1,ashfield
https://www.realestate.com.au/property-house-nsw-ashfield-425658706,$700 per week,700.0,3,3,2,ashfield
https://www.realestate.com.au/property-townhouse-nsw-ashfield-425526826,$700 per week,700.0,4,1,2,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-424615242,$710 per week,710.0,2,2,1,ashfield
https://www.realestate.com.au/property-unit-nsw-ashfield-424570366,$700 per week,700.0,2,1,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-404565466,$735P/W,,3,2,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-425494874,$740 per week,740.0,3,2,2,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-424030410,$750.00 furnished,375.0,2,2,1,ashfield
https://www.realestate.com.au/property-house-nsw-ashfield-413793235,$775 per week,775.0,4,1,0,ashfield
https://www.realestate.com.au/property-terrace-nsw-ashfield-424324434,$850 per Week,850.0,4,2,1,ashfield
https://www.realestate.com.au/property-apartment-nsw-ashfield-422605534,$850 per week,850.0,3,2,2,ashfield
https://www.realestate.com.au/property-house-nsw-ashfield-425313998,$880 per week,880.0,4,2,1,ashfield
https://www.realestate.com.au/property-house-nsw-ashfield-425170874,$950 per week,950.0,5,2,3,ashfield
https://www.realestate.com.au/property-other-nsw-ashfield-420124602,$1000 + GST,1000.0,10,2,0,ashfield
https://www.realestate.com.au/property-house-nsw-ashfield-407062196,"$1,020 per week",,5,2,1,ashfield
https://www.realestate.com.au/property-terrace-nsw-ashfield-425385386,"$1,050 per week",,4,4,1,ashfield
https://www.realestate.com.au/property-house-nsw-ashfield-425332878,$1250 Per Week,1250.0,4,3,2,ashfield
https://www.realestate.com.au/property-house-nsw-ashfield-424910238,$1250 Per Week,1250.0,4,3,2,ashfield
https://www.realestate.com.au/property-house-nsw-ashfield-425478194,$1300 Per Week,1300.0,5,2,2,ashfield
https://www.realestate.com.au/property-townhouse-nsw-ashfield-424679742,$1350P/W,,4,4,2,ashfield
