link,price,price_num,beds,bath,cars
https://www.realestate.com.au/property-house-nsw-north+lambton-414698803,$170.00 per week,85.0,7,3,0
https://www.realestate.com.au/property-house-nsw-waratah+west-412678071,From $170.00 per week,85.0,12,5,0
https://www.realestate.com.au/property-house-nsw-jesmond-412145923,$170.00 per week,85.0,6,2,0
https://www.realestate.com.au/property-house-nsw-shortland-420821158,$170 per week,170.0,5,2,0
https://www.realestate.com.au/property-house-nsw-mayfield+west-420940710,$170 per week,170.0,8,2,1
https://www.realestate.com.au/property-house-nsw-waratah+west-421374754,$175 per week,175.0,6,2,0
https://www.realestate.com.au/property-house-nsw-birmingham+gardens-425687014,$180 per week,180.0,3,1,0
https://www.realestate.com.au/property-other-nsw-waratah-424497550,$180 per week,180.0,5,2,0
https://www.realestate.com.au/property-house-nsw-birmingham+gardens-420355754,$180 per week,180.0,6,2,0
https://www.realestate.com.au/property-house-nsw-jesmond-424616318,$180 per week,180.0,4,3,0
https://www.realestate.com.au/property-house-nsw-birmingham+gardens-420366362,$180 per week,180.0,6,2,0
https://www.realestate.com.au/property-house-nsw-newcastle-421426722,$180 - $235,207.5,2,3,0
https://www.realestate.com.au/property-house-nsw-jesmond-424714266,$185 per week,185.0,8,4,0
https://www.realestate.com.au/property-house-nsw-jesmond-424714202,$185 - $210 per week,197.5,8,4,0
https://www.realestate.com.au/property-apartment-nsw-hamilton-417448142,$200 per week,200.0,25,11,0
https://www.realestate.com.au/property-house-nsw-birmingham+gardens-424616582,$200 per week,200.0,3,3,0
https://www.realestate.com.au/property-house-nsw-jesmond-416572381,$210 - $230 per week,220.0,12,12,0
https://www.realestate.com.au/property-house-nsw-jesmond-412146115,$210 - 230 per week,220.0,12,12,0
https://www.realestate.com.au/property-house-nsw-islington-423439714,$230 per week,230.0,4,1,0
https://www.realestate.com.au/property-house-nsw-waratah+west-423433978,$240 per week,240.0,5,5,0
https://www.realestate.com.au/property-house-nsw-newcastle-421386918,$250 per week,250.0,5,2,0
https://www.realestate.com.au/property-house-nsw-valentine-419354950,$255,255.0,2,1,1
https://www.realestate.com.au/property-flat-nsw-charlestown-425624806,$260 per Week,260.0,2,1,1
https://www.realestate.com.au/property-house-nsw-tarro-421583162,$260 wk,260.0,2,1,0
https://www.realestate.com.au/property-unit-nsw-broadmeadow-418026166,$260,260.0,3,1,1
https://www.realestate.com.au/property-flat-nsw-lambton-425576506,$270 per week,270.0,2,1,0
https://www.realestate.com.au/property-apartment-nsw-lambton-420046930,$275 per week,275.0,2,1,1
https://www.realestate.com.au/property-unit-nsw-lambton-414159107,$275 per week,275.0,2,1,1
https://www.realestate.com.au/property-unit-nsw-wallsend-425681446,$280 per week,280.0,2,1,0
https://www.realestate.com.au/property-flat-nsw-wallsend-425677086,$280 per week,280.0,2,1,1
https://www.realestate.com.au/property-house-nsw-wallsend-425652250,$280 per week,280.0,2,1,1
https://www.realestate.com.au/property-house-nsw-mayfield-425616922,$280 per week,280.0,2,1,0
https://www.realestate.com.au/property-unit-nsw-hamilton-425329790,$280 per week,280.0,2,1,1
https://www.realestate.com.au/property-unit-nsw-stockton-415875753,$285.00 per week,142.5,2,1,0
https://www.realestate.com.au/property-flat-nsw-shortland-425282222,$285-$315,,2,1,0
https://www.realestate.com.au/property-unit-nsw-marks+point-425683806,$295.00,147.5,2,1,0
https://www.realestate.com.au/property-unit-nsw-charlestown-414515627,$295 per week,295.0,2,1,1
https://www.realestate.com.au/property-unit-nsw-waratah-423721154,$300 per week,300.0,2,1,0
https://www.realestate.com.au/property-flat-nsw-belmont+north-420142202,$300 per week,300.0,2,1,1
https://www.realestate.com.au/property-house-nsw-gateshead-421170286,$300 per Week,300.0,2,1,0
https://www.realestate.com.au/property-unit-nsw-adamstown-425377294,$300,300.0,2,1,1
https://www.realestate.com.au/property-house-nsw-windale-425334506,$300 per week,300.0,2,1,0
