link,address,price,price_num,beds,bath,cars,suburb
https://www.realestate.com.au/property-studio-nsw-sydney-425370654,"2507/393 Pitt Street, Sydney, NSW 2000",$550 per week,550.0,1,0,0,sydney
https://www.realestate.com.au/property-apartment-nsw-sydney-425668058,"365 Kent Street, Sydney, NSW 2000",$560 per week,560.0,1,1,0,sydney
https://www.realestate.com.au/property-apartment-nsw-millers+point-421836694,"187 Kent Street, Millers Point, NSW 2000",DEPOSIT TAKEN,,1,0,0,sydney
https://www.realestate.com.au/property-apartment-nsw-sydney-404675396,"1805/348 Sussex  Street, Sydney, NSW 2000",$565 per Week,565.0,1,1,0,sydney
https://www.realestate.com.au/property-apartment-nsw-sydney-425497182,"187 Kent St, Sydney, NSW 2000",DEPOSIT TAKEN,,1,1,0,sydney
https://www.realestate.com.au/property-apartment-nsw-sydney-423192526,"3507a/91 Liverpool St, Sydney, NSW 2000",$575 Per Week,575.0,1,0,0,sydney
https://www.realestate.com.au/property-apartment-nsw-sydney-425658422,"303 Castlereagh St, Sydney, NSW 2000",$580 per week,580.0,1,1,1,sydney
https://www.realestate.com.au/property-apartment-nsw-sydney-425633258,"17-25 Wentworth Avenue, Sydney, NSW 2000",- Deposit Taken -,,1,1,0,sydney
https://www.realestate.com.au/property-apartment-nsw-haymarket-425611426,"Level 32/2 Quay Street, Haymarket, NSW 2000",$580,580.0,1,1,0,sydney
https://www.realestate.com.au/property-apartment-nsw-sydney-425583474,"38 Bridge St, Sydney, NSW 2000",$580,580.0,1,1,0,sydney
https://www.realestate.com.au/property-apartment-nsw-sydney-425368234,"101 Bathurst Street, Sydney, NSW 2000",Level 35| $580 PW,580.0,1,1,0,sydney
https://www.realestate.com.au/property-apartment-nsw-sydney-425687882,"25 Market St, Sydney, NSW 2000",$590,590.0,1,1,0,sydney
https://www.realestate.com.au/property-apartment-nsw-sydney-425667986,"2906/393 Pitt Street, Sydney, NSW 2000",$590 Per Week,590.0,1,1,0,sydney
https://www.realestate.com.au/property-apartment-nsw-sydney-422757234,"158-166 Day Street, Sydney, NSW 2000",$590 per week,590.0,1,1,0,sydney
